A_market,B_market,corr
Aigueperse,Poitiers,.6662761
Aigueperse,PontSaintEsprit,.75173414
Aigueperse,PontlAbbé,
Aigueperse,Pontoise,.7095778
Aigueperse,Puylaurens,.66352648
Aigueperse,Reims,.66278678
Aigueperse,Rennes,.67120463
Aigueperse,Revel,.65095669
Aigueperse,Riom,.97825193
Aigueperse,Romans,.84420013
Aigueperse,Rouen,.74037898
Aigueperse,RozayenBrie,.68910223
Aigueperse,Réalmont,.69069278
Aigueperse,SaintAffrique,.80362648
Aigueperse,SaintBrieuc,.70674217
Aigueperse,SaintEtienne,.86247182
Aigueperse,SaintLo,
Aigueperse,Soissons,
Aigueperse,Strasbourg,.63265747
Aigueperse,TarasconsurAriège,.75216609
Aigueperse,Toulouse,.77968216
Aigueperse,Treignac,.59370828
Aigueperse,Tulle,.78845119
Aigueperse,Valence,.34412336
Aigueperse,Valenciennes,
Aigueperse,Vannes,
Aigueperse,Verfeil,-.54646361
Aigueperse,VicleComte,.93616396
Aigueperse,Vienne,
Aigueperse,VilleneuvedeBerg,.78010261
Aigueperse,Vitre,
Aigueperse,Voiron,
AixenProvence,Abbeville,.54454798
AixenProvence,Aigueperse,.62582463
AixenProvence,AixenProvence,1
AixenProvence,Albertville,
AixenProvence,Albi,.60930258
AixenProvence,Angers,.6159634
AixenProvence,Angoulême,
AixenProvence,Annecy,
AixenProvence,Annonay,.80049127
AixenProvence,Arles,.89059341
AixenProvence,Arras,
AixenProvence,Aubenas,.8835569
AixenProvence,Auzerre,
AixenProvence,Avignon,1
AixenProvence,Ayen,.28042069
AixenProvence,BarleDuc,
AixenProvence,Bayeux,.67381328
AixenProvence,Bayonne,
AixenProvence,Beaugency,
AixenProvence,Beaumont,.25736311
AixenProvence,Bernay,
AixenProvence,Billom,.25430596
AixenProvence,Blois,
AixenProvence,Bordeaux,.84766793
AixenProvence,BoulognesurMer,.43726784
AixenProvence,Bourges,
AixenProvence,Briançon,
AixenProvence,Brioude,.72740811
AixenProvence,BrivelaGaillarde,-.28274038
AixenProvence,BuislesBaronnies,.90554857
AixenProvence,Béziers,.7981025
AixenProvence,Caen,
AixenProvence,Cambrai,
AixenProvence,Cany,.25750935
AixenProvence,Carcassonne,.87512577
AixenProvence,Castelnaudary,.86652732
AixenProvence,Castres,.71224815
AixenProvence,ChalonssurMarne,
AixenProvence,Charleville,
AixenProvence,Chartres,.57999623
AixenProvence,ChateauGontier,.62364638
AixenProvence,Chateaudun,.49088624
AixenProvence,Chateauroux,
AixenProvence,ChaumontenCaux,.35211203
AixenProvence,ChaumontenVexin,.55609089
AixenProvence,Cherbourg,
AixenProvence,Clermont,
AixenProvence,Colmar,
AixenProvence,Cordes,.7125439
AixenProvence,Coutances,.52687413
AixenProvence,Die,
AixenProvence,Dieppe,
AixenProvence,Digne,
AixenProvence,Dole,.81747025
AixenProvence,Douai,.55818695
AixenProvence,Draguignan,.95028383
AixenProvence,Eu,.53867704
AixenProvence,Evreaux,
AixenProvence,Foix,.73729712
AixenProvence,Fontenay,.67596447
AixenProvence,Gonesse,.54605609
AixenProvence,Grenade,.83394408
AixenProvence,Grenoble,.81523091
AixenProvence,Guéret,.47801247
AixenProvence,Issoire,.72324032
AixenProvence,Langres,.48516732
AixenProvence,Laval,
AixenProvence,Lavaur,.83725923
AixenProvence,LeHavre,.44751111
AixenProvence,LeMans,
AixenProvence,LePuyenVelay,.81397432
AixenProvence,Lille,.6423313
AixenProvence,Limoges,.7001195
AixenProvence,Louviers,
AixenProvence,Luneville,
AixenProvence,Lyon,.80101651
AixenProvence,MagnyenVexin,.48737192
AixenProvence,Marans,
AixenProvence,Maringues,.45357728
AixenProvence,Marmande,
AixenProvence,Marseille,.79304647
AixenProvence,Melun,.36534879
AixenProvence,Mende,
AixenProvence,Meulan,.54897934
AixenProvence,Montauban,.83741289
AixenProvence,Montbrison,
AixenProvence,Montpellier,.87534875
AixenProvence,Montélimar,
AixenProvence,Mulhouse,
AixenProvence,Mâcon,
AixenProvence,Nantes,
AixenProvence,Narbonne,.83658481
AixenProvence,Orléans,.1837344
AixenProvence,Pamiers,.78585738
AixenProvence,Paris,.42715964
AixenProvence,Pau,
AixenProvence,Peyrehorade,
AixenProvence,Poitiers,.74488515
AixenProvence,PontSaintEsprit,.90405345
AixenProvence,PontlAbbé,
AixenProvence,Pontoise,.51542175
AixenProvence,Puylaurens,.83690071
AixenProvence,Reims,.5064382
AixenProvence,Rennes,.69480765
AixenProvence,Revel,.77235496
AixenProvence,Riom,.78797567
AixenProvence,Romans,.86638916
AixenProvence,Rouen,.5897218
AixenProvence,RozayenBrie,.30732295
AixenProvence,Réalmont,.64129257
AixenProvence,SaintAffrique,.84805226
AixenProvence,SaintBrieuc,.72915328
AixenProvence,SaintEtienne,.78376687
AixenProvence,SaintLo,
AixenProvence,Soissons,
AixenProvence,Strasbourg,.63568807
AixenProvence,TarasconsurAriège,.82670653
AixenProvence,Toulouse,.88145232
AixenProvence,Treignac,.28098187
AixenProvence,Tulle,.68384302
AixenProvence,Valence,.43104881
AixenProvence,Valenciennes,
AixenProvence,Vannes,
AixenProvence,Verfeil,-.047633212
AixenProvence,VicleComte,.63319629
AixenProvence,Vienne,
AixenProvence,VilleneuvedeBerg,.87589014
AixenProvence,Vitre,
AixenProvence,Voiron,
Albertville,Abbeville,
Albertville,Aigueperse,
Albertville,AixenProvence,
Albertville,Albertville,
Albertville,Albi,
Albertville,Angers,
Albertville,Angoulême,
Albertville,Annecy,
Albertville,Annonay,
Albertville,Arles,
Albertville,Arras,
Albertville,Aubenas,
Albertville,Auzerre,
Albertville,Avignon,
Albertville,Ayen,
Albertville,BarleDuc,
Albertville,Bayeux,
Albertville,Bayonne,
Albertville,Beaugency,
Albertville,Beaumont,
Albertville,Bernay,
Albertville,Billom,
Albertville,Blois,
Albertville,Bordeaux,
Albertville,BoulognesurMer,
Albertville,Bourges,
Albertville,Briançon,
Albertville,Brioude,
Albertville,BrivelaGaillarde,
Albertville,BuislesBaronnies,
Albertville,Béziers,
Albertville,Caen,
Albertville,Cambrai,
Albertville,Cany,
Albertville,Carcassonne,
Albertville,Castelnaudary,
Albertville,Castres,
Albertville,ChalonssurMarne,
Albertville,Charleville,
Albertville,Chartres,
Albertville,ChateauGontier,
Albertville,Chateaudun,
Albertville,Chateauroux,
Albertville,ChaumontenCaux,
Albertville,ChaumontenVexin,
Albertville,Cherbourg,
Albertville,Clermont,
Albertville,Colmar,
Albertville,Cordes,
Albertville,Coutances,
Albertville,Die,
Albertville,Dieppe,
Albertville,Digne,
Albertville,Dole,
Albertville,Douai,
Albertville,Draguignan,
Albertville,Eu,
Albertville,Evreaux,
Albertville,Foix,
Albertville,Fontenay,
Albertville,Gonesse,
Albertville,Grenade,
Albertville,Grenoble,
Albertville,Guéret,
Albertville,Issoire,
Albertville,Langres,
Albertville,Laval,
Albertville,Lavaur,
Albertville,LeHavre,
Albertville,LeMans,
Albertville,LePuyenVelay,
Albertville,Lille,
Albertville,Limoges,
Albertville,Louviers,
Albertville,Luneville,
Albertville,Lyon,
Albertville,MagnyenVexin,
Albertville,Marans,
Albertville,Maringues,
Albertville,Marmande,
Albertville,Marseille,
Albertville,Melun,
Albertville,Mende,
Albertville,Meulan,
Albertville,Montauban,
Albertville,Montbrison,
Albertville,Montpellier,
Albertville,Montélimar,
Albertville,Mulhouse,
Albertville,Mâcon,
Albertville,Nantes,
Albertville,Narbonne,
Albertville,Orléans,
Albertville,Pamiers,
Albertville,Paris,
Albertville,Pau,
Albertville,Peyrehorade,
Albertville,Poitiers,
Albertville,PontSaintEsprit,
Albertville,PontlAbbé,
Albertville,Pontoise,
Albertville,Puylaurens,
Albertville,Reims,
Albertville,Rennes,
Albertville,Revel,
Albertville,Riom,
Albertville,Romans,
Albertville,Rouen,
Albertville,RozayenBrie,
Albertville,Réalmont,
Albertville,SaintAffrique,
Albertville,SaintBrieuc,
Albertville,SaintEtienne,
Albertville,SaintLo,
Albertville,Soissons,
Albertville,Strasbourg,
Albertville,TarasconsurAriège,
Albertville,Toulouse,
Albertville,Treignac,
Albertville,Tulle,
Albertville,Valence,
Albertville,Valenciennes,
Albertville,Vannes,
Albertville,Verfeil,
Albertville,VicleComte,
Albertville,Vienne,
Albertville,VilleneuvedeBerg,
Albertville,Vitre,
Albertville,Voiron,
Albi,Abbeville,.84557468
Albi,Aigueperse,.71384585
Albi,AixenProvence,.60930258
Albi,Albertville,
Albi,Albi,1
Albi,Angers,.827977
Albi,Angoulême,.7484042
Albi,Annecy,
Albi,Annonay,.7131837
Albi,Arles,.64953095
Albi,Arras,.85422099
Albi,Aubenas,.74201131
Albi,Auzerre,.77081776
Albi,Avignon,.77428192
Albi,Ayen,.53630614
Albi,BarleDuc,.8511737
Albi,Bayeux,.82805514
Albi,Bayonne,.62399811
Albi,Beaugency,
Albi,Beaumont,.85076791
Albi,Bernay,.77124739
Albi,Billom,.52893555
Albi,Blois,.86057866
Albi,Bordeaux,.88554275
Albi,BoulognesurMer,.69315183
Albi,Bourges,.80076998
Albi,Briançon,
Albi,Brioude,.80697256
Albi,BrivelaGaillarde,.78700906
Albi,BuislesBaronnies,.82414412
Albi,Béziers,.66436404
Albi,Caen,
Albi,Cambrai,
Albi,Cany,.43737563
Albi,Carcassonne,.73486692
Albi,Castelnaudary,.87431353
Albi,Castres,.89501095
Albi,ChalonssurMarne,.80013204
Albi,Charleville,.75444508
Albi,Chartres,.72738719
Albi,ChateauGontier,.82827306
Albi,Chateaudun,.80456412
Albi,Chateauroux,.80845731
Albi,ChaumontenCaux,.91267186
Albi,ChaumontenVexin,.84545165
Albi,Cherbourg,
Albi,Clermont,
Albi,Colmar,.85764754
Albi,Cordes,.77134258
Albi,Coutances,.78644371
Albi,Die,
Albi,Dieppe,
Albi,Digne,.77688211
Albi,Dole,.8237918
Albi,Douai,.72227907
Albi,Draguignan,.77900302
Albi,Eu,.8710652
Albi,Evreaux,
Albi,Foix,.72757453
Albi,Fontenay,.85600466
Albi,Gonesse,.64035738
Albi,Grenade,.88775563
Albi,Grenoble,.82872021
Albi,Guéret,.81627095
Albi,Issoire,.81316996
Albi,Langres,.71417886
Albi,Laval,
Albi,Lavaur,.82743704
Albi,LeHavre,.56169105
Albi,LeMans,.84253317
Albi,LePuyenVelay,.80937093
Albi,Lille,.81746173
Albi,Limoges,.7992425
Albi,Louviers,
Albi,Luneville,.91447175
Albi,Lyon,.84248221
Albi,MagnyenVexin,.81736106
Albi,Marans,
Albi,Maringues,.58331281
Albi,Marmande,.89693278
Albi,Marseille,.79498351
Albi,Melun,.89133459
Albi,Mende,.67972058
Albi,Meulan,.8243975
Albi,Montauban,.88380241
Albi,Montbrison,
Albi,Montpellier,.87362331
Albi,Montélimar,
Albi,Mulhouse,.85514742
Albi,Mâcon,.84243292
Albi,Nantes,.83057702
Albi,Narbonne,.65463328
Albi,Orléans,.90492433
Albi,Pamiers,.84355992
Albi,Paris,.81476676
Albi,Pau,.69697702
Albi,Peyrehorade,.72648048
Albi,Poitiers,.81510067
Albi,PontSaintEsprit,.82426536
Albi,PontlAbbé,.57788426
Albi,Pontoise,.80894297
Albi,Puylaurens,.81039679
Albi,Reims,.80935359
Albi,Rennes,.82254422
Albi,Revel,.75693858
Albi,Riom,.75261927
Albi,Romans,.79682809
Albi,Rouen,.78621584
Albi,RozayenBrie,.8935945
Albi,Réalmont,.58911991
Albi,SaintAffrique,.87004983
Albi,SaintBrieuc,.77061069
Albi,SaintEtienne,.80611414
Albi,SaintLo,
Albi,Soissons,.73633832
Albi,Strasbourg,.79263771
Albi,TarasconsurAriège,.79474819
Albi,Toulouse,.8466875
Albi,Treignac,.5355832
Albi,Tulle,.80615258
Albi,Valence,.31696332
Albi,Valenciennes,
Albi,Vannes,.74373066
Albi,Verfeil,.68364084
Albi,VicleComte,.68892723
Albi,Vienne,
Albi,VilleneuvedeBerg,.72203916
Albi,Vitre,
Albi,Voiron,
Angers,Abbeville,.79585838
Angers,Aigueperse,.7153089
Angers,AixenProvence,.6159634
Angers,Albertville,
Angers,Albi,.827977
Angers,Angers,1
Angers,Angoulême,.81547576
Angers,Annecy,
Angers,Annonay,.65998018
Angers,Arles,.65738624
Angers,Arras,.90500772
Angers,Aubenas,.74971682
Angers,Auzerre,.85717797
Angers,Avignon,.76074475
Angers,Ayen,.69982111
Angers,BarleDuc,.92815822
Angers,Bayeux,.85148507
Angers,Bayonne,.57537794
Angers,Beaugency,
Angers,Beaumont,.66569424
Angers,Bernay,.83012694
Angers,Billom,.66500378
Angers,Blois,.93848342
Angers,Bordeaux,.85611027
Angers,BoulognesurMer,.71992958
Angers,Bourges,.9014073
Angers,Briançon,
Angers,Brioude,.75440532
Angers,BrivelaGaillarde,.35206428
Angers,BuislesBaronnies,.75803345
Angers,Béziers,.64752185
Angers,Caen,
Angers,Cambrai,
Angers,Cany,.49787867
Angers,Carcassonne,.69474661
Angers,Castelnaudary,.81386286
Angers,Castres,.70606524
Angers,ChalonssurMarne,.81100386
Angers,Charleville,.7686218
Angers,Chartres,.84864283
Angers,ChateauGontier,.90998185
Angers,Chateaudun,.80251735
Angers,Chateauroux,.91285658
Angers,ChaumontenCaux,.7747103
Angers,ChaumontenVexin,.82968909
Angers,Cherbourg,
Angers,Clermont,
Angers,Colmar,.84569401
Angers,Cordes,.66801596
Angers,Coutances,.77557582
Angers,Die,
Angers,Dieppe,
Angers,Digne,.67008203
Angers,Dole,.80868083
Angers,Douai,.71719199
Angers,Draguignan,.74125177
Angers,Eu,.7611993
Angers,Evreaux,
Angers,Foix,.63581985
Angers,Fontenay,.87960827
Angers,Gonesse,.6944654
Angers,Grenade,.73798668
Angers,Grenoble,.79668808
Angers,Guéret,.77463716
Angers,Issoire,.80915928
Angers,Langres,.68353599
Angers,Laval,
Angers,Lavaur,.68003196
Angers,LeHavre,.68611032
Angers,LeMans,.95274359
Angers,LePuyenVelay,.80439246
Angers,Lille,.81894565
Angers,Limoges,.82991642
Angers,Louviers,
Angers,Luneville,.93588269
Angers,Lyon,.82429582
Angers,MagnyenVexin,.73896033
Angers,Marans,
Angers,Maringues,.62067413
Angers,Marmande,.78346485
Angers,Marseille,.80443364
Angers,Melun,.84512246
Angers,Mende,.6788643
Angers,Meulan,.77992409
Angers,Montauban,.80086619
Angers,Montbrison,
Angers,Montpellier,.79853201
Angers,Montélimar,
Angers,Mulhouse,.84814084
Angers,Mâcon,.82695657
Angers,Nantes,.98253822
Angers,Narbonne,.44623309
Angers,Orléans,.90191102
Angers,Pamiers,.78687799
Angers,Paris,.76658314
Angers,Pau,.60631108
Angers,Peyrehorade,.67492622
Angers,Poitiers,.9214974
Angers,PontSaintEsprit,.79711086
Angers,PontlAbbé,.60620373
Angers,Pontoise,.75121492
Angers,Puylaurens,.5869779
Angers,Reims,.69605827
Angers,Rennes,.88818449
Angers,Revel,.65876657
Angers,Riom,.75849819
Angers,Romans,.6745432
Angers,Rouen,.82155794
Angers,RozayenBrie,.7978127
Angers,Réalmont,.68061095
Angers,SaintAffrique,.82367522
Angers,SaintBrieuc,.83557367
Angers,SaintEtienne,.78262895
Angers,SaintLo,
Angers,Soissons,.74805307
Angers,Strasbourg,.76880914
Angers,TarasconsurAriège,.73269087
Angers,Toulouse,.82569587
Angers,Treignac,.69882846
Angers,Tulle,.82563984
Angers,Valence,.10226233
Angers,Valenciennes,
Angers,Vannes,.86371225
Angers,Verfeil,.85630232
Angers,VicleComte,.68988025
Angers,Vienne,
Angers,VilleneuvedeBerg,.7165457
Angers,Vitre,
Angers,Voiron,
Angoulême,Abbeville,.66934699
Angoulême,Aigueperse,
Angoulême,AixenProvence,
Angoulême,Albertville,
Angoulême,Albi,.7484042
Angoulême,Angers,.81547576
Angoulême,Angoulême,1
Angoulême,Annecy,
Angoulême,Annonay,
Angoulême,Arles,
Angoulême,Arras,.90432537
Angoulême,Aubenas,1
Angoulême,Auzerre,.56145769
Angoulême,Avignon,.56136125
Angoulême,Ayen,
Angoulême,BarleDuc,.81683451
Angoulême,Bayeux,.67188448
Angoulême,Bayonne,.40910286
Angoulême,Beaugency,
Angoulême,Beaumont,
Angoulême,Bernay,.64151043
Angoulême,Billom,
Angoulême,Blois,.75778705
Angoulême,Bordeaux,.83928668
Angoulême,BoulognesurMer,.65956563
Angoulême,Bourges,.67227167
Angoulême,Briançon,
Angoulême,Brioude,
Angoulême,BrivelaGaillarde,
Angoulême,BuislesBaronnies,.50503367
Angoulême,Béziers,
Angoulême,Caen,
Angoulême,Cambrai,
Angoulême,Cany,
Angoulême,Carcassonne,
Angoulême,Castelnaudary,.71237379
Angoulême,Castres,
Angoulême,ChalonssurMarne,.53769428
Angoulême,Charleville,.50995266
Angoulême,Chartres,
Angoulême,ChateauGontier,.74536759
Angoulême,Chateaudun,.62331349
Angoulême,Chateauroux,.77545595
Angoulême,ChaumontenCaux,
Angoulême,ChaumontenVexin,.64522082
Angoulême,Cherbourg,
Angoulême,Clermont,
Angoulême,Colmar,.75182849
Angoulême,Cordes,
Angoulême,Coutances,.26158836
Angoulême,Die,
Angoulême,Dieppe,
Angoulême,Digne,.48413792
Angoulême,Dole,.65653491
Angoulême,Douai,.6388917
Angoulême,Draguignan,.62072319
Angoulême,Eu,
Angoulême,Evreaux,
Angoulême,Foix,
Angoulême,Fontenay,.92856532
Angoulême,Gonesse,
Angoulême,Grenade,
Angoulême,Grenoble,.56752455
Angoulême,Guéret,.73959768
Angoulême,Issoire,.45507962
Angoulême,Langres,.45019099
Angoulême,Laval,
Angoulême,Lavaur,
Angoulême,LeHavre,
Angoulême,LeMans,.72236323
Angoulême,LePuyenVelay,.34245011
Angoulême,Lille,
Angoulême,Limoges,.7766335
Angoulême,Louviers,
Angoulême,Luneville,.85463661
Angoulême,Lyon,.61445457
Angoulême,MagnyenVexin,
Angoulême,Marans,
Angoulême,Maringues,
Angoulême,Marmande,.89749765
Angoulême,Marseille,.67257279
Angoulême,Melun,
Angoulême,Mende,.33179229
Angoulême,Meulan,
Angoulême,Montauban,.93177885
Angoulême,Montbrison,
Angoulême,Montpellier,.65683603
Angoulême,Montélimar,
Angoulême,Mulhouse,.71725696
Angoulême,Mâcon,.60658979
Angoulême,Nantes,.81653625
Angoulême,Narbonne,
Angoulême,Orléans,.6247257
Angoulême,Pamiers,.76673961
Angoulême,Paris,.57682222
Angoulême,Pau,.43474475
Angoulême,Peyrehorade,.50741357
Angoulême,Poitiers,.92862338
Angoulême,PontSaintEsprit,.58223194
Angoulême,PontlAbbé,.5153175
Angoulême,Pontoise,
Angoulême,Puylaurens,.24712831
Angoulême,Reims,
Angoulême,Rennes,.63943309
Angoulême,Revel,
Angoulême,Riom,
Angoulême,Romans,
Angoulême,Rouen,.67094123
Angoulême,RozayenBrie,.56907791
Angoulême,Réalmont,
Angoulême,SaintAffrique,.62975585
Angoulême,SaintBrieuc,.5044744
Angoulême,SaintEtienne,.48800728
Angoulême,SaintLo,
Angoulême,Soissons,.53332931
Angoulême,Strasbourg,.64738566
Angoulême,TarasconsurAriège,
Angoulême,Toulouse,.74504453
Angoulême,Treignac,
Angoulême,Tulle,.84738648
Angoulême,Valence,
Angoulême,Valenciennes,
Angoulême,Vannes,.64957297
Angoulême,Verfeil,
Angoulême,VicleComte,
Angoulême,Vienne,
Angoulême,VilleneuvedeBerg,
Angoulême,Vitre,
Angoulême,Voiron,
Annecy,Abbeville,
Annecy,Aigueperse,
Annecy,AixenProvence,
Annecy,Albertville,
Annecy,Albi,
Annecy,Angers,
Annecy,Angoulême,
Annecy,Annecy,
Annecy,Annonay,
Annecy,Arles,
Annecy,Arras,
Annecy,Aubenas,
Annecy,Auzerre,
Annecy,Avignon,
Annecy,Ayen,
Annecy,BarleDuc,
Annecy,Bayeux,
Annecy,Bayonne,
Annecy,Beaugency,
Annecy,Beaumont,
Annecy,Bernay,
Annecy,Billom,
Annecy,Blois,
Annecy,Bordeaux,
Annecy,BoulognesurMer,
Annecy,Bourges,
Annecy,Briançon,
Annecy,Brioude,
Annecy,BrivelaGaillarde,
Annecy,BuislesBaronnies,
Annecy,Béziers,
Annecy,Caen,
Annecy,Cambrai,
Annecy,Cany,
Annecy,Carcassonne,
Annecy,Castelnaudary,
Annecy,Castres,
Annecy,ChalonssurMarne,
Annecy,Charleville,
Annecy,Chartres,
Annecy,ChateauGontier,
Annecy,Chateaudun,
Annecy,Chateauroux,
Annecy,ChaumontenCaux,
Annecy,ChaumontenVexin,
Annecy,Cherbourg,
Annecy,Clermont,
Annecy,Colmar,
