from,to,value
Métaux (Languedoc),exports de la DF de Marseille,625
Objets manufacturés (Bretagne),exports de la DF de Marseille,93348
Objets manufacturés (Alsace),exports de la DF de Marseille,43524
Industrie française et étrangère (Monde),exports de la DF de Marseille,117323
Drogues médicinales (Provence),exports de la DF de Marseille,82453
Industrie française et étrangère (Lorraine),exports de la DF de Marseille,35926
Drogues (sans origine),exports de la DF de Marseille,1228534
Matières premières (Auvergne),exports de la DF de Marseille,485
Industrie française et étrangère (Touraine),exports de la DF de Marseille,1367
Subsistances (Auvergne),exports de la DF de Marseille,62103
Objets manufacturés (Anjou),exports de la DF de Marseille,15120
Industrie française et étrangère (Italie),exports de la DF de Marseille,11152
Objets manufacturés (Auvergne),exports de la DF de Marseille,25656
Amiens,Industrie française et étrangère (Picardie),31255
Bordeaux,Matières premières (Amérique),9000
Charleville,Industrie française et étrangère (Monde),1710
Flandre,Objets manufacturés (Flandre),4288
Lorient,Matières premières (sans origine),960
Montpellier,Industrie française et étrangère (Provence),1559
Montpellier,Subsistances (Languedoc),249271
Montpellier,Subsistances (Bourgogne),2082
Montpellier,Matières premières (Languedoc),434685
Montpellier,Objets manufacturés (Languedoc),868643
Montpellier,Subsistances (sans origine),282
Montpellier,Objets manufacturés (Flandre),13852
Montpellier,Objets manufacturés (Normandie),34695
Montpellier,Drogues médicinales (sans origine),1690
Montpellier,Matières premières (sans origine),8323
Montpellier,Objets manufacturés (Monde),27687
Montpellier,Matières premières (Auvergne),3495
Montpellier,Subsistances (Auvergne),7680
Montpellier,Industrie française et étrangère (Languedoc),397580
Montpellier,Matières premières (Monde),1200
Montpellier,Divers (sans origine),4044
Montpellier,Industrie française et étrangère (Italie),200
Montpellier,Industrie française et étrangère (Monde),560
Montpellier,Industrie française et étrangère (Île-de-France),205
Montpellier,Industrie française et étrangère (Lyonnais),3133
Montpellier,Objets manufacturés (Anjou),37315
Montpellier,Industrie française et étrangère (sans origine),3354
Montpellier,Industrie française et étrangère (Dauphiné),8685
Montpellier,Objets manufacturés (Lyonnais),26797
Montpellier,Objets manufacturés (Dauphiné),59476
Montpellier,Objets manufacturés (Bretagne),15911
Montpellier,Objets manufacturés (Maine),855
Montpellier,Objets manufacturés (Auvergne),104812
Montpellier,Objets manufacturés (Champagne),480
Montpellier,Objets manufacturés (Alsace),840
Montpellier,Industrie française et étrangère (Lorraine),810
Montpellier,Drogues (sans origine),345
Montpellier,Métaux (Languedoc),5488
Montpellier,Subsistances (Monde),120
Montpellier,Objets manufacturés (sans origine),1700
Montpellier,Objets manufacturés (Guyenne),513
Montpellier,Subsistances (Dauphiné),1182
Nantes,Industrie française et étrangère (Touraine),72064
Nantes,Objets manufacturés (Champagne),540
Nantes,Objets manufacturés (Bretagne),14699
Narbonne,Objets manufacturés (Languedoc),468
Narbonne,Matières premières (Languedoc),1281
Narbonne,Industrie française et étrangère (Languedoc),7277
Narbonne,Subsistances (Languedoc),17985
Narbonne,Industrie française et étrangère (Provence),3250
Rouen,Matières premières (sans origine),1090
Rouen,Objets manufacturés (Normandie),1040
Rouen,Industrie française et étrangère (Île-de-France),3840
Rouen,Subsistances (sans origine),69469
Saint-Malo,Subsistances (Amérique),14400
Saint-Malo,Objets manufacturés (Bretagne),220
Toulon,Subsistances (Provence),781088
Toulon,Matières premières (Provence),261008
Toulon,Objets manufacturés (Provence),4047
Toulon,Industrie française et étrangère (Provence),429164
Toulon,Métaux (Provence),166993
Toulon,Drogues (Provence),167965
Toulon,Divers (sans origine),1733
Toulon,Divers (Provence),50207
Toulon,Matières premières (sans origine),1289
Toulon,Drogues médicinales (Provence),1131
Toulon,Subsistances (sans origine),265
Toulon,Industrie française et étrangère (sans origine),122
Toulon,Matières premières (Dauphiné),312
