port,latitude,longitude,category,count
Eléa,36.75,22.8,empire ottoman,4
Ile de San Nicola,42.116667,15.516667,méditerranée occidentale,1
Port Olivier / Port Iéro,39.1,26.466667,empire ottoman,3
Pont-l'Abbé,47.865615,-4.220667,Ponant,2
Ares,43.433333,-8.233333,méditerranée occidentale,1
Baie de Fourchette,50.533333,-56.283333,Ponant,1
Cefalù,38.038907, 14.022916,méditerranée occidentale,4
Saint-Nazaire / Sanary-sur-Mer,43.116667,5.8,méditerranée occidentale,82
Vilassar,41.503549, 2.390861,méditerranée occidentale,41
Marseille,43.3,5.4,méditerranée occidentale,10
Toulon,43.116667,5.933333,méditerranée occidentale,395
Fondeadero del Fangar,40.766667,0.75,méditerranée occidentale,13
Mazarrón,37.59832,-1.314096,méditerranée occidentale,26
La Escala,42.109674, 3.142839,méditerranée occidentale,18
Saint-Pétersbourg,59.894444,30.264167,Ponant,15
île Rousse (Corse),42.633333,8.933333,méditerranée occidentale,41
Port-Vendres,42.516667,3.116667,méditerranée occidentale,14
Fréjus,43.433333,6.733333,méditerranée occidentale,78
Collo,37.005833,6.5725,empire ottoman,3
Castiglione della Pescaia,42.766667,10.883333,méditerranée occidentale,1
Ochakiv,46.616667,31.55,empire ottoman,1
Massa-Carrare,44,10.1,méditerranée occidentale,3
Ville Joyeuse,38.5,-0.233333,méditerranée occidentale,4
Terracine,41.283333,13.25,méditerranée occidentale,8
Buccari/ Bakar,45.308611,14.530278,méditerranée occidentale,3
Vietri,40.666667,14.733333,méditerranée occidentale,3
Crotone,39.083333,17.133333,méditerranée occidentale,5
Otrante,40.15,18.5,méditerranée occidentale,5
Barletta,41.316667,16.283333,méditerranée occidentale,6
Brindisi,40.633333,17.933333,méditerranée occidentale,2
Manfredonia,41.633333,15.916667,méditerranée occidentale,11
Mirabello,35.233333,25.783333,empire ottoman,1
Clarence / Glarentza,37.933333,21.15,empire ottoman,4
Golfe de Monte-Santo / golfe Singitique,40.2,23.933333,empire ottoman,1
Souda,35.484444,24.074444,empire ottoman,5
Copenhague,55.666667,12.583333,Ponant,4
Louisiane,29.99098,-90.126572,méditerranée occidentale,3
Séville,37.38388,-5.995502,méditerranée occidentale,5
Liverpool,53.41164,-2.978725,Ponant,17
Famagouste,35.125,33.95,empire ottoman,1
Satalia,36.9125,30.689722,empire ottoman,5
Tripoli de Syrie,34.436667,35.849722,empire ottoman,8
Embouchure du Danube,45.5,29.416667,empire ottoman,2
Odessa,46.483738,30.730705,empire ottoman,1
Taganrog,47.2273035475915,38.8908034936437,empire ottoman,1
Canal de Négrepont / canal de l'Euripe,38.566422,23.455582,empire ottoman,1
Bordighera,43.766667,7.65,méditerranée occidentale,26
Salone /Amphissa,38.525,22.373056,empire ottoman,1
Pescara,42.466667,14.216667,méditerranée occidentale,2
Rochefort,45.943666,-0.97043,Ponant,3
Sainte-Euphémie,38.916667,16.25,méditerranée occidentale,4
Scoglitti,36.883333,14.433333,méditerranée occidentale,13
Caïffe / Haïfa,32.815556,34.989167,empire ottoman,3
Menton,43.783333,7.5,méditerranée occidentale,101
Sainte-Maxime,43.3,6.633333,méditerranée occidentale,8
Kavala,40.939722,24.401944,empire ottoman,2
Porto Farina / Ghar el-Melh,37.166667,10.183333,empire ottoman,11
Antibes,43.583333,7.116667,méditerranée occidentale,56
Villefranche,43.7,7.316667,méditerranée occidentale,30
San Remo,43.816667,7.766667,méditerranée occidentale,113
Lisbonne,38.716667,-9.133333,Ponant,49
Sulina,45.15,29.666667,empire ottoman,1
Honfleur,49.420164,0.231886,Ponant,10
Dunkerque,51.05,2.366667,Ponant,28
Saint-Valery (indeterminé),49.963589,1.147613,Ponant,8
Hyères,43.08613645952041,6.150292341697001,méditerranée occidentale,6
Royaume de Naples,41.171005,15.396881,méditerranée occidentale,3
Finale,44.166667,8.333333,méditerranée occidentale,29
Aigues-Mortes,43.566667,4.183333,méditerranée occidentale,24
Bordeaux,44.833333,-0.566667,Ponant,12
Saint-Tropez,43.266667,6.633333,méditerranée occidentale,19
Rouen,49.433333,1.083333,Ponant,15
plages du Roussillon,42.691521,3.048477,méditerranée occidentale,1
Sandarli,38.937778,26.932778,empire ottoman,1
Penerf,47.5,-2.65,Ponant,2
Ajaccio,41.918584,8.736863,méditerranée occidentale,69
Villaricos,37.25,-1.766667,méditerranée occidentale,2
Corfou,39.666667,19.75,méditerranée occidentale,1
Venise,45.438611,12.326667,méditerranée occidentale,12
Scalea,39.816667,15.783333,méditerranée occidentale,6
Dénia,38.85,0.116667,méditerranée occidentale,6
Golfe de Vólos,39.25,23,empire ottoman,1
Scilla,38.25,15.716667,méditerranée occidentale,8
Carrare,44.033333,10.033333,méditerranée occidentale,8
Vólos,39.366667,22.945833,empire ottoman,1
Topsham,50.683333,-3.45,Ponant,3
Tréguier,48.783333,-3.233333,Ponant,1
Iles Tremiti,42.116667,15.5,méditerranée occidentale,1
Uddevalla,58.366667,11.933333,Ponant,2
Siagi / Sığacık,38.198889,26.840833,empire ottoman,2
Corigliano Calabro,39.6,16.516667,méditerranée occidentale,3
Monopoli,40.95,17.3,méditerranée occidentale,5
Amantea,39.133333,16.066667,méditerranée occidentale,2
Rapallo,44.349825,9.230783,méditerranée occidentale,4
Vinaròs,40.466667,0.483333,méditerranée occidentale,15
Arma di Taggia,43.833333,7.85,méditerranée occidentale,3
Fornells,40.057402, 4.132451,méditerranée occidentale,1
Villanueva de Arosa,42.562817,-8.82813,méditerranée occidentale,1
Candie / Crète,35.325,25.130556,empire ottoman,1
Saint-Florent,42.683333,9.3,méditerranée occidentale,21
Mitilinii,37.728611,26.908333,empire ottoman,4
Premià de Mar,41.494412,2.358065,méditerranée occidentale,1
Vintimille,43.783333,7.6,méditerranée occidentale,6
Quimper,47.996619,-4.099817,Ponant,2
Mataró,41.538502, 2.443720,méditerranée occidentale,9
Sassari,40.727222,8.560278,méditerranée occidentale,7
Port-Louis,47.708064,-3.355494,Ponant,4
Cadaqués, 42.288445, 3.275721,méditerranée occidentale,10
Laigueglia,43.966667,8.15,méditerranée occidentale,7
Procida,40.766667,14.033333,méditerranée occidentale,2
Santa Margherita,44.333333,9.2,méditerranée occidentale,3
Salou,41.066667,1.133333,méditerranée occidentale,2
Castellabate,40.283333,14.95,méditerranée occidentale,1
Capraia,43.05,9.833333,méditerranée occidentale,1
Cassano,39.783333,16.316667,méditerranée occidentale,1
Cap Stilo,38.45,16.583333,méditerranée occidentale,1
Santander,43.464722,-3.804444,méditerranée occidentale,1
Redondela,42.282225,-8.609202,méditerranée occidentale,1
Boulogne-sur-Mer,50.716667,1.616667,Ponant,3
Bagnara,38.283333,15.8,méditerranée occidentale,3
La Seyne,43.1,5.883333,méditerranée occidentale,9
Les Ilettes,51.160941, -55.747728,Ponant,1
Collioure,42.524957,3.082595,méditerranée occidentale,5
Baie de Sans-Fonds, 50.616239, -56.265640,Ponant,1
Riva,43.833333,7.883333,méditerranée occidentale,6
Kélibia,36.85,11.1,empire ottoman,1
La Rochelle,46.166667,-1.15,Ponant,9
Cavalaire,43.166667,6.533333,méditerranée occidentale,4
Négrepont,38.5,24,empire ottoman,3
Saint-Raphaël,43.416667,6.766667,méditerranée occidentale,12
Sant Pol,41.601861, 2.624171,méditerranée occidentale,5
Chiavari,44.316667,9.316667,méditerranée occidentale,20
pointe de Beauduc de Tignes,43.361168,4.583656,méditerranée occidentale,7
Bocca di Magra,44.05,10,méditerranée occidentale,1
Bilbao,43.256706,-2.924252,méditerranée occidentale,2
Benicarló,40.412552, 0.424996,méditerranée occidentale,1
Selva de Mar,42.333333,3.2,méditerranée occidentale,6
Tétouan,35.57,-5.37,méditerranée occidentale,1
Poole,53.9,-1.616667,Ponant,2
Southampton,50.9,-1.4,Ponant,6
Berwick,55.783333,-2,Ponant,4
Libau,56.516667,21.016667,Ponant,1
Bristol,51.45,-2.583333,Ponant,8
Texel,53.083333,4.833333,Ponant,1
Chichester,50.833333,-0.783333,Ponant,8
Palafrugell,41.916667,3.166667,méditerranée occidentale,2
Roses,42.262667, 3.177820,méditerranée occidentale,5
Tarragone,41.11772,1.244144,méditerranée occidentale,2
Tanger,35.78,-5.81,méditerranée occidentale,1
Dublin,53.333056,-6.248889,Ponant,3
Douelan,47.770556,-3.614444,Ponant,1
Les Petites Oies,51.3,-55.616667,Ponant,5
île Quirpon,51.6,-55.433333,Ponant,14
Nordkapp / Cap Nord),71.167778,25.8025,Ponant,1
Madère,32.733333,-17,Ponant,2
Cork,51.898611,-8.495833,Ponant,13
Gothembourg,57.716667,11.966667,Ponant,2
Ferrol,43.483333,-8.233333,Ponant,2
El Masnou,41.482421, 2.312770,méditerranée occidentale,2
Fredrikstad,59.216667,10.95,Ponant,2
Morlaix,48.574926,-3.826103,Ponant,2
Limerick,52.664722,-8.623056,Ponant,2
Calmar,56.666667,16.366667,Ponant,3
Courlande,57,22,Ponant,1
Zélande,51.416667,3.75,Ponant,1
Kristiansand,58.153787,7.996559,Ponant,2
Reggio de Calabre,38.1,15.65,méditerranée occidentale,1
Helsinki,60.175556,24.934167,Ponant,1
Saintes-Maries-de-la-Mer,43.453417,4.42832,méditerranée occidentale,4
Dieppe,49.933333,1.083333,Ponant,11
Bormes,43.15,6.333333,méditerranée occidentale,1
Le Liouquet,43.183333,5.666667,méditerranée occidentale,5
Oristano,39.903056,8.591944,méditerranée occidentale,22
Monaco,43.733332999999995,7.4166670000000003,méditerranée occidentale,26
Golfe de Valinco,41.666667,8.816667,méditerranée occidentale,1
Lipari,38.483333,14.933333,méditerranée occidentale,7
Carqueiranne,43.083333,6.083333,méditerranée occidentale,1
La Nouvelle,43.016667,3.05,méditerranée occidentale,9
Celle Ligure,44.333333,8.55,méditerranée occidentale,2
Léoube,43.121786,6.291718,méditerranée occidentale,1
Hydra,37.347778,23.458889,empire ottoman,1
San Martín de la Arena,43.45,-4.033333,méditerranée occidentale,1
Golfe de Palmas,41.188989,9.450617,méditerranée occidentale,1
San Nicolò,38.634573,15.852213,méditerranée occidentale,11
Portofino,44.3,9.2,méditerranée occidentale,2
Vannes,47.657445,-2.760172,Ponant,8
Saint-Chamas,43.55,5.033333,méditerranée occidentale,5
île de Dino,39.874109,15.774121,méditerranée occidentale,11
Kristianstad,56.031639,14.155483,Ponant,1
Corinthe,37.937778,22.932222,empire ottoman,1
Stora,36.9,6.866667,empire ottoman,4
Salé,34.039134, -6.823007,méditerranée occidentale,8
île-de-Bréhat,48.85,-3,Ponant,2
Berre,43.466667,5.183333,méditerranée occidentale,2
cap d' Anzio,41.45,12.633333,méditerranée occidentale,5
San Vincenzo,43.1,10.533333,méditerranée occidentale,1
Lecce,40.383333,18.183333,méditerranée occidentale,2
La Spezia,44.116667,9.833333,méditerranée occidentale,1
Inverkeithing,56.033333,-3.383333,Ponant,1
Senj,44.989444,14.905833,méditerranée occidentale,4
Bisceglie,41.233333,16.5,méditerranée occidentale,1
Pozzallo,36.716667,14.85,méditerranée occidentale,2
Algajola,42.608826,8.860294,méditerranée occidentale,1
Albissola,44.316667,8.5,méditerranée occidentale,5
Fiumicino,41.766667,12.233333,méditerranée occidentale,4
Tropea,38.683333,15.9,méditerranée occidentale,2
Pozzuoli,40.816667,14.116667,méditerranée occidentale,4
Oliveri,38.116667,15.05,méditerranée occidentale,4
Saint Etienne,43.833333,7.9,méditerranée occidentale,5
Albenga,44.05,8.216667,méditerranée occidentale,1
San Vito,42.29658,14.444954,méditerranée occidentale,1
Viareggio,43.866667,10.233333,méditerranée occidentale,1
Sorrente,40.616667,14.366667,méditerranée occidentale,1
Cervo,43.916667,8.116667,méditerranée occidentale,7
Montignoso,44.016667,10.166667,méditerranée occidentale,1
Roccella,38.316667,16.4,méditerranée occidentale,2
Préveza,38.95,20.75,empire ottoman,1
Kateríni,40.238056,22.581944,empire ottoman,1
Korinos,40.315,22.585278,empire ottoman,1
Roda de Barà,41.183333,1.466667,méditerranée occidentale,1
Måsøy,71.010556,24.980833,Ponant,1
Montrose,56.7,-2.45,Ponant,1
Vadsø,70.073056,29.769722,Ponant,1
Dantzig,54.35,18.666667,Ponant,2
Douvres,51.133333,1.3,Ponant,5
Vyborg,60.7,28.75,Ponant,4
Gèfle,60.666667,17.166667,Ponant,1
Calais,50.95,1.833333,Ponant,3
Trinity,48.366667,-53.383333,Ponant,1
Padstow,50.533333,-4.933333,Ponant,1
Veere,51.55,3.666667,Ponant,1
Saint-Brieuc,48.516667,-2.783333,Ponant,1
Fécamp,49.75,0.366667,Ponant,1
Flensbourg,54.783333,9.433333,Ponant,5
Memel,55.702587,21.148453,Ponant,5
Dordrecht,51.8,4.666667,Ponant,3
Umeå,63.833333,20.25,Ponant,1
Truro,50.261667,-5.043333,Ponant,1
Guernesey,49.45,-2.6,Ponant,2
Chester,53.192078,-2.895269,Ponant,9
Bourgneuf,47.045002,-1.952934,Ponant,2
Carril,42.615767,-8.773302,méditerranée occidentale,1
Férolle,51.016667,-57.1,Ponant,1
Le Four,51.180279, -55.730114,Ponant,3
Sanlúcar de Barrameda,36.783333,-6.35,méditerranée occidentale,5
Saint-Juliens,51.083333,-55.783333,Ponant,4
La Cremaillère,51.342150, -55.615232,Ponant,2
île Bell,50.75,-55.583333,Ponant,1
Fleur-de-Lys,50.133333,-56.1,Ponant,4
Baie des Pins, 50,-55.866667,Ponant,2
Kirkcaldy,56.116667,-3.166667,Ponant,1
Belfast,54.583333,-5.933333,Ponant,2
La Roche-Bernard,47.516667,-2.3,Ponant,3
Middelbourg,51.499927,3.613629,Ponant,1
Le Croc,51.060065, -55.819783,Ponant,2
La Conche,50.9,-55.9,Ponant,2
Puerto de la Luz,28.140838,-15.425241,méditerranée occidentale,1
Whitby,54.482919,-0.616879,Ponant,3
Borrowstounness,56.016667,-3.616667,Ponant,1
Limekilns,56.033333,-3.466667,Ponant,1
Setúbal,38.533333,-8.9,Ponant,2
Suède,62,15,Ponant,2
Swansea,51.633333,-3.966667,Ponant,1
Shoreham,50.833333,-0.233333,Ponant,4
Mazagan,33.25,-8.5,méditerranée occidentale,1
Douarnenez,48.1,-4.333333,Ponant,1
Abo / Turku,60.45,22.283333,Ponant,2
Labrador,54,-60,Ponant,1
La Scie,49.966667,-55.583333,Ponant,1
Gaspésie,48.666667,-65.833333,Ponant,1
Zierikzee,51.65,3.916667,Ponant,2
Les Canaries,50.681441, -56.138237,Ponant,2
Kristiansund,63.116667,7.75,Ponant,1
Cherbourg,49.640322,-1.615534,Ponant,2
Boutitou, 50.782584, -56.030120,Ponant,2
Kingston upon Thames,51.416667,-0.283333,Ponant,1
Cowes,50.766667,-1.3,Ponant,4
Gander Bay,49.266667,-54.5,Ponant,1
Lyme Regis,50.733333,-2.933333,Ponant,1
Raguse / Dubrovnik,42.650556,18.091389,méditerranée occidentale,3
Es Sur,33.273333,35.193889,empire ottoman,3
Golfe de Cazadaly,39.369492,26.647256,empire ottoman,1
Golfe de Nauplie,37.543115,22.767592,empire ottoman,1
Beaucaire,43.8,4.633333,méditerranée occidentale,4
Terranova (Olbia),40.916667,9.483333,méditerranée occidentale,2
Luri [Porticciolo],42.872001,9.477839,méditerranée occidentale,6
Vittoria,36.95,14.533333,méditerranée occidentale,1
cap Passero,36.683333,15.166667,méditerranée occidentale,1
Skiáthos,39.166667,23.483333,empire ottoman,1
Aci Trezza,37.55,15.133333,méditerranée occidentale,1
Corse,42,9,méditerranée occidentale,2
Redon,47.65,-2.083333,Ponant,1
Melasse / Milazzo,38.216667,15.233333,méditerranée occidentale,4
Porto Venere,44.051529,9.834477,méditerranée occidentale,1
embouchure du Rhône,43.335167,4.837303,méditerranée occidentale,7
Alella,41.492026, 2.294075,méditerranée occidentale,1
Badolato,38.566667,16.566667,méditerranée occidentale,1
Sestri Levante,44.266667,9.4,méditerranée occidentale,1
Motril,36.75,-3.516667,méditerranée occidentale,1
Pegli,44.433333,8.8,méditerranée occidentale,1
Quinto,44.383333,9.016667,méditerranée occidentale,2
Bonifacio,41.383333,9.15,méditerranée occidentale,8
Fiume / Rijeka,45.343056,14.409167,méditerranée occidentale,8
Santa Cruz de Tenerife,28.469167,-16.256776,méditerranée occidentale,1
Sardaigne,40,9,méditerranée occidentale,1
Ustica,38.7,13.183333,méditerranée occidentale,3
Golfe Thermaïque,40.372866,22.761863,empire ottoman,2
Siculiana,37.333333,13.416667,méditerranée occidentale,6
Porto Re / Kraljevica,45.269722,14.570833,méditerranée occidentale,6
Oran,35.703635,-0.638416,empire ottoman,1
Rochester,51.389812,0.504513,Ponant,1
Colchester,51.883333,0.9,Ponant,1
Macinaggio,42.95,9.45,méditerranée occidentale,2
Golfe-Juan,43.566667,7.083333,méditerranée occidentale,2
cap Corse,43,9.383333,méditerranée occidentale,6
Ospedaletti,43.8,7.716667,méditerranée occidentale,1
Carboneras,36.983333,-1.9,méditerranée occidentale,1
Arenys de Mar,41.583333,2.55,méditerranée occidentale,1
Vieste,41.883333,16.166667,méditerranée occidentale,1
Bovalino,38.15,16.183333,méditerranée occidentale,1
Nicotera,38.55,15.933333,méditerranée occidentale,1
Marignane,43.416667,5.216667,méditerranée occidentale,1
Cargèse,42.133333,8.583333,méditerranée occidentale,1
Campofelice,37.983333,13.883333,méditerranée occidentale,1
Noli,44.2,8.433333,méditerranée occidentale,2
Salobreña,36.733333,-3.583333,méditerranée occidentale,1
Altafulla,41.140783,1.377816,méditerranée occidentale,1
Soverato,38.683333,16.55,méditerranée occidentale,1
Ciutadella de Menorca,40.008309, 3.856622,méditerranée occidentale,2
Bosa,40.3,8.5,méditerranée occidentale,2
