year,data_type,value,kind,slope,reg_point,peace_reg_memory,peace_reg,direction_ferme,column_order,avg_loss_mem,avg_loss_no_mem
1784,trade,,total,Marseille +1.1%/an,162554873.16759425,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1785,trade,,total,Marseille +1.1%/an,164404883.7227018,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1786,trade,,total,Marseille +1.1%/an,166275948.9468403,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1787,trade,,total,Marseille +1.1%/an,168168308.45977244,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1788,trade,,total,Marseille +1.1%/an,170082204.6083327,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1789,trade,213669273.7414955,total,Marseille +1.1%/an,172017882.49746597,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1716,trade,,imports,Marseille +1.8%/an,29425145.8195184,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1717,trade,,imports,Marseille +1.8%/an,29959480.21729581,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1718,trade,,imports,Marseille +1.8%/an,30503517.651054632,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1719,trade,,imports,Marseille +1.8%/an,31057434.31927227,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1720,trade,,imports,Marseille +1.8%/an,31621409.620033294,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1721,trade,,imports,Marseille +1.8%/an,32195626.20913112,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1722,trade,,imports,Marseille +1.8%/an,32780270.05922576,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1723,trade,,imports,Marseille +1.8%/an,33375530.520074822,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1724,trade,,imports,Marseille +1.8%/an,33981600.37985825,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1725,trade,,imports,Marseille +1.8%/an,34598675.927617684,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1726,trade,,imports,Marseille +1.8%/an,35226957.016828686,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1727,trade,,imports,Marseille +1.8%/an,35866647.130127236,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1728,trade,,imports,Marseille +1.8%/an,36517953.44521299,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1729,trade,,imports,Marseille +1.8%/an,37181086.901947275,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
